lp;treat;mean_r;std_r;mean_s;std_s;DAT;var
1;Control3;0.008508;0.000572568;0.01887;0.001206464;3 DAT;Control
2;Zn3;0.008568;0.00082062;0.019882;0.000926971;3 DAT;Zn
3;Cd3;0.005408;0.000587841;0.01545;0.001359059;3 DAT;Cd
4;Zn+Cd3;0.006179;0.000600737;0.01418;0.0013166;3 DAT;Zn+Cd
5;Control7;0.012257143;0.001417687;0.04315;0.003259218;7 DAT;Control
6;Zn7;0.011391;0.000964307;0.04247619;0.003658401;7 DAT;Zn
7;Cd7;0.00873;0.000859412;0.028315789;0.002053456;7 DAT;Cd
8;Zn+Cd7;0.009442105;0.000984212;0.026211111;0.003111941;7 DAT;Zn+Cd
9;Control14;0.035568421;0.003904489;0.1385;0.0062876;14 DAT;Control
10;Zn14;0.0463125;0.005580958;0.191833;0.01741604;14 DAT;Zn
11;Cd14;0.017279;0.003808473;0.074733;0.01002199;14 DAT;Cd
12;Zn+Cd14;0.01944;0.001718642;0.075836842;0.005964271;14 DAT;Zn+Cd
